_1,_2,_3
92,14,1
158,178,3
200,70,1
413,59,1
434,82,1
386,434,1
0,434,1
457,554,1
515,890,1
910,122,1
836,122,3
839,609,1
960,984,1
1085,289,1
886,968,1
14904,968,1
58339,322,1
836,1085,2
1193,548,1
24,754,1
1006,1097,1
322,1097,1
979,434,1
21,2507,1
2643,548,1
0,95,1
2532,366,1
2702,325,1
676,1273,2
375,2533,1
1237,989,1
1241,1237,1
1256,1237,1
0,2979,2
375,870,1
21,3128,1
1399,3211,1
15955,3211,1
95,3284,1
3445,3284,1
836,3390,1
322,3390,3
3459,21,1
609,21,1
14031,21,1
2969,3539,1
3571,3550,1
21,4794,1
1165,5021,1
5091,5043,1
836,1279,1
3436,5170,1
836,1131,2
4621,6391,1
3466,1048,1
21,3504,1
5246,2452,4
4621,303,1
1256,5091,1
7722,2452,1
303,7738,1
7739,7740,1
7923,2452,1
1003,21,1
6644,21,2
2452,97,2
8017,525,2
525,8065,1
7720,8268,1
75,8268,1
4621,3070,1
7960,381,2
2723,8488,1
2576,8285,1
587,2723,1
21,8800,1
836,7712,2
173,8285,1
69362,9492,1
471,9488,1
173,7702,1
1367,9035,1
182,8878,1
9227,2452,1
8041,378,1
9576,924,1
6550,75,1
9947,178,1
7720,10001,1
2452,8338,2
5303,10131,2
7720,3151,1
3151,8953,1
9225,9943,1
7980,9943,3
5091,2643,1
9420,10187,1
10463,10506,1
10522,9420,1
91700,9323,1
836,10949,3
7980,11029,2
7980,12250,1
10210,10189,3
836,12536,4
12533,10936,1
0,1406,1
23664,1406,1
924,1406,1
60710,12580,1
12301,12665,1
836,5211,4
381,12827,1
836,12858,1
10816,12858,1
12867,12876,1
5055,12996,1
13011,9420,1
471,13182,1
13155,13213,1
2452,13155,1
2452,13309,1
7848,13309,1
7738,13481,1
12952,13521,1
9420,13413,1
8820,13818,3
13915,13296,1
11097,843,4
10683,10620,1
2723,8751,1
381,10683,1
9123,14030,1
14053,836,2
14109,1223,1
12776,12473,2
13498,8842,1
11097,201,1
13578,14177,1
471,14267,1
12473,14411,1
5280,5091,1
21,3169,1
13727,906,2
60240,836,1
836,14586,3
3470,14586,1
30754,14636,1
44308,14636,1
14779,3024,3
12473,14681,1
5279,8013,1
10894,3151,1
11097,14900,1
14946,108,2
13285,13562,1
14994,15083,1
15140,5303,2
8820,15157,1
14588,15157,1
843,15182,1
15189,15182,1
11097,15258,1
15303,2573,4
11044,14994,1
15398,10975,1
15527,8999,3
6529,11097,1
75,924,3
10884,10240,1
16337,13061,1
381,16337,1
8752,16353,1
14372,16380,1
6550,14091,1
8113,10345,2
13901,836,4
12632,16612,1
676,16693,1
12527,381,1
924,16992,1
11097,14898,1
381,10275,1
12443,14313,2
13417,847,1
30507,3044,1
471,17423,1
471,13291,2
381,17702,1
471,17702,1
17800,17702,1
0,10879,1
65840,17784,1
20445,17877,1
21,17888,1
17908,16284,1
15361,381,1
18035,12515,1
17116,5043,1
13727,18139,1
6478,13417,1
676,18184,1
14913,18098,4
17696,18195,1
14779,18195,1
11097,18221,1
0,18240,1
376,18240,2
8479,13417,1
836,14913,1
676,18098,1
15527,6514,2
8465,18477,1
18139,17646,2
6478,18679,1
21,18139,1
676,18778,2
9420,18778,2
14153,13213,1
381,3024,2
19051,17937,1
18843,18787,2
471,18787,4
381,19278,1
8820,14578,3
27255,14578,2
30569,14578,1
5200,3230,1
16971,17309,1
16853,19260,1
16756,17509,1
9420,17696,1
381,16712,4
15202,3151,2
13450,6478,1
17484,14904,1
21075,20982,1
11097,18919,1
11097,21024,2
13727,7702,2
16928,17531,1
19161,12515,1
18416,20594,1
836,21755,1
20722,381,1
21995,15032,1
3313,676,1
9420,21702,1
23097,9465,2
381,12345,1
12345,7763,3
21825,23198,2
17594,7763,1
133,16853,1
15412,23283,2
17772,14904,1
15361,23301,2
2750,20926,1
11097,17484,1
21560,23416,1
32639,8878,1
10372,23495,1
23584,381,1
15569,18465,1
19161,14904,4
15527,20585,1
15527,23708,4
2723,10902,1
836,14904,14
9123,24095,1
24100,16024,1
37986,16024,2
6478,20585,1
20635,24000,2
24157,24320,1
25984,108,1
16597,108,1
78107,108,1
19161,21795,1
13457,836,1
13413,24550,1
16213,20594,1
21024,676,3
24593,23305,1
15613,924,1
676,24792,1
23865,21024,1
27432,12363,2
25488,25678,2
56394,25419,1
52008,25419,1
18416,24005,1
25704,15202,1
24719,10902,1
24346,25934,1
20492,25970,1
471,2723,1
25970,23262,2
14164,3591,1
71363,3591,1
14560,25936,1
26166,25755,1
26181,836,1
471,12771,2
17819,25311,1
836,25429,7
17819,25429,1
8501,26058,2
25922,26519,1
14588,24719,1
471,26659,1
26701,6567,1
26146,14779,1
26635,25800,2
14779,26408,1
12206,15412,1
9053,18540,1
27000,836,1
27250,27010,1
8560,26019,1
5329,26202,1
27364,15766,1
49515,15766,1
38556,15766,1
26856,16853,1
23305,13518,1
16214,13518,1
836,17435,2
26394,27741,2
27432,27776,1
836,27776,1
27534,27347,1
27788,924,1
25744,836,2
27838,836,1
5041,18626,1
381,27974,1
28213,19046,1
23305,426,1
12384,77,1
381,13736,4
28279,13450,1
26394,28344,1
12384,28344,1
26394,13056,1
53640,13056,1
16812,816,1
30507,700,1
836,8560,1
10024,14675,1
21,10024,1
28628,20308,1
23480,28966,1
28350,25157,2
27231,9123,9
29090,28628,1
32663,29083,1
381,426,1
471,426,1
27534,18665,1
28628,29169,1
29208,25429,1
13727,8820,1
24996,8820,1
9123,13727,1
25157,29236,2
28628,28385,1
381,29438,2
29590,1155,1
24218,26719,1
27632,26163,1
23305,12202,1
676,28628,2
14904,29952,1
29968,676,1
29905,27231,1
28628,30075,1
30075,836,2
30136,10824,2
30136,471,1
16853,28628,2
29431,11007,1
381,30562,1
9123,14586,1
15412,22054,1
32252,22054,1
10683,13726,1
381,10881,3
26394,29580,2
471,29580,1
836,16853,3
34323,16853,1
836,28317,1
26394,31017,1
31133,10904,1
26394,31171,1
74384,24895,1
31266,31282,1
381,31361,1
58099,31361,1
12345,10620,1
31346,17177,2
8820,30928,3
27768,31822,2
30107,8710,1
26394,31948,1
381,32048,1
381,30898,2
32116,30928,2
381,30928,1
836,29587,4
31513,26019,2
23377,13727,1
836,30212,2
29217,32357,3
27768,23850,2
0,23850,1
11097,9123,2
32177,32169,1
19212,31822,2
381,32602,1
16872,29587,1
30693,32816,1
381,8337,2
836,32989,4
32177,33050,1
381,33168,3
381,28291,1
33020,32686,7
22012,10902,1
23305,33349,1
33272,836,1
33392,836,1
14560,33404,2
836,21319,1
33011,27114,3
381,33386,1
381,33613,2
38096,17305,1
33202,33685,1
8560,26163,4
21,26163,1
34009,16680,1
50519,10671,1
19161,35481,3
34253,24000,1
710,33448,1
21,35657,1
776,35738,1
836,1330,1
30459,35496,1
8552,36958,1
33701,37063,1
23305,37225,1
381,37225,1
27226,1330,1
8560,37200,2
381,37288,2
28209,21262,1
13901,32280,1
21,13235,1
381,23437,3
49673,14675,1
17538,20327,1
14904,37814,3
37109,16238,1
8560,23402,1
8820,14675,2
45328,14750,1
38143,21254,1
61243,34028,1
17208,20766,1
34028,38472,1
38522,23710,1
381,38678,1
381,21254,1
836,17208,1
381,12533,3
25320,924,3
24895,28175,1
836,33738,1
28175,38657,1
24235,14904,1
836,39569,2
37001,39569,1
2968,31731,1
30107,40255,1
15384,14675,1
14904,33812,1
33738,40424,1
16853,40424,1
836,31046,3
33738,30000,1
17538,40590,1
40590,33738,1
8005,14675,1
381,40813,2
16853,40827,1
33738,40827,1
56457,40951,1
42377,39934,1
28887,33812,1
41306,27665,1
16853,41297,1
41460,924,1
41566,41571,1
38506,26562,1
41525,38506,1
32220,13727,5
41525,37946,1
24593,20572,1
29587,41828,2
31639,41854,1
32860,33922,1
41881,38887,1
41460,41886,1
41948,23305,1
21,40853,1
40853,29967,2
381,42270,1
836,29064,2
13748,42298,1
4683,40853,1
42023,42401,1
42510,29781,1
40853,41072,3
36977,42515,1
20372,2515,1
42846,42825,1
836,16368,1
17047,40853,1
28175,40454,1
29781,26329,2
29781,43159,1
15412,21560,2
43210,8878,1
43463,16693,1
2968,43508,1
16401,43511,1
43374,43541,1
43488,15828,2
23204,43637,1
30107,6433,1
54448,42325,1
381,38503,2
31718,18501,1
53400,28175,1
10865,28175,1
33569,924,1
27665,42904,1
43996,29575,1
24885,4683,1
38395,381,5
18434,43870,2
11080,44312,1
29575,44652,1
37822,4683,1
11080,39331,1
43679,8878,2
43679,4683,5
44950,28175,1
8878,45005,3
17484,4683,1
45034,28175,1
836,45107,1
69782,45107,1
43472,45086,1
18843,45297,1
32429,44114,1
45448,16401,1
33653,7812,1
40853,45488,4
45503,45488,1
70066,11097,1
836,45397,1
45509,13562,1
23240,27135,1
13736,37268,1
45507,15613,1
381,13259,1
26289,836,1
45224,44139,2
45033,28175,1
50745,15828,1
13012,44394,1
26202,33364,1
45898,28175,4
46402,29134,1
28175,46488,3
46431,18434,1
28175,46493,1
12905,11097,1
46424,27432,1
46055,38271,2
32440,46545,1
44456,20372,1
381,46654,2
62938,46542,1
44139,46055,1
38582,46055,1
46055,1029,1
43455,46527,1
31086,4683,1
41487,4683,1
27432,46920,2
53388,31582,1
35644,46981,2
26202,35644,1
35644,24719,2
35644,44044,1
35644,47169,8
35644,12345,2
45507,47212,2
35644,45821,5
45545,20327,1
47273,30189,1
40853,47366,1
23240,14675,2
47279,15518,1
35644,47497,1
8501,44688,1
16050,32697,1
37822,28175,7
29587,47599,1
14675,47728,3
35644,47835,1
40853,27537,1
35644,47929,2
48970,41204,2
38506,35644,3
43077,1156,1
49098,27665,1
381,38467,3
57091,38467,1
29587,49154,1
47359,38892,2
28175,38892,3
49226,49544,1
49581,21560,1
49454,45431,3
381,45216,1
49733,8560,2
13012,18434,1
8560,49893,1
381,47202,1
