_1,_2,_3
381,23301,1
20926,20926,1
17772,15412,1
23416,23416,2
14560,8878,2
23495,23495,3
13100,381,13
23527,381,4
10372,23208,1
13100,23578,1
23578,23578,1
381,23611,1
23721,23721,3
471,13517,1
13517,13517,1
20372,13517,1
14685,14313,1
28201,10902,1
23945,23945,1
471,22075,1
14360,15412,2
15412,15412,20
24000,24000,6
24268,12554,1
9123,9123,40
9497,108,1
18699,108,1
16853,108,1
23204,14999,1
16220,21795,1
9123,21024,1
2724,21024,1
8005,13413,1
23305,23305,65
24767,21988,1
17290,24930,2
24980,23305,1
24885,24885,11
9121,24885,1
836,24885,7
24792,24792,2
25153,25153,1
10902,10902,15
12384,22065,1
10902,21024,2
24379,12384,2
3571,381,2
381,25394,1
75,21024,1
20492,25419,1
14904,24005,2
12792,12792,1
836,25935,1
25934,25934,2
676,21369,2
3591,3591,1
25104,12250,1
25936,75,1
75,75,12
9824,25225,1
25225,25225,1
12250,25104,1
25104,25104,7
26223,26223,2
25225,1077,1
1077,1077,4
25640,26297,1
15527,26350,1
26350,26350,1
8820,26427,2
26058,26058,3
26519,26519,2
8501,26659,1
14779,14779,8
25800,25800,2
16853,26408,1
836,15412,2
26562,24245,1
18540,18540,9
836,27010,1
27010,27010,1
8501,26956,2
26562,26562,28
26019,26019,47
27121,14675,1
27194,27194,1
25504,2454,1
2454,2454,3
4683,14675,1
24412,15766,1
27389,27389,1
381,2861,6
21608,27420,1
27432,27432,28
62645,13518,1
12384,21044,2
18429,18429,1
8560,13002,1
21,13002,2
21608,21608,34
55122,21608,1
16853,27741,1
27915,27741,1
35597,27741,1
14675,27776,1
471,471,6
27436,8560,2
15613,21608,1
924,27974,1
28012,8830,1
28031,28031,1
26394,26394,29
47323,19046,1
381,28241,1
28241,28241,1
16853,77,1
14310,77,1
23380,77,1
38379,77,1
28211,27989,1
53479,13736,1
23305,26019,2
25157,28344,1
20492,28344,1
23380,816,1
12384,28502,1
27250,14904,2
5211,700,1
19161,28598,1
15464,28628,2
28628,28628,22
16162,16162,2
26243,26243,16
836,21608,2
28714,16853,1
82,16853,2
28815,28815,5
28883,26243,1
26243,26522,2
26522,26522,6
27250,26800,2
28864,28864,1
26800,29083,1
15738,29083,1
17208,426,1
18665,18665,1
29082,29082,1
28982,28628,1
12345,13727,7
12384,29236,1
29236,29236,3
29353,24593,1
23614,13100,1
13100,13100,12
29340,29340,1
17208,18787,1
676,18787,1
24005,4855,1
