_1,_2,_3
0,21166,1
1330,21166,1
19161,381,3
16853,14904,1
836,18626,6
12947,12947,3
17290,21377,1
21481,21481,1
381,21508,1
836,21464,1
21024,21750,1
4978,21018,1
21242,20429,1
381,9035,1
21755,21755,1
15412,381,1
13736,20759,1
20759,20759,2
24792,9314,1
836,10517,1
18811,10517,1
21319,15518,1
381,22071,1
21896,22071,1
22075,18544,2
9465,9465,3
12345,12345,15
5177,23138,1
9420,23126,1
21473,21473,3
14913,16853,2
16853,16853,17
23283,23283,1
12858,14904,2
27442,8878,1
23452,14904,2
10372,23568,1
23492,23283,1
30149,23283,1
23708,23708,2
20585,20585,4
14904,12515,2
21560,12515,1
9465,12515,1
836,13517,1
471,10902,1
23714,14904,2
15533,14904,3
24095,24095,1
24095,14904,1
21560,14913,4
49089,14913,1
21560,21560,3
381,23477,1
21,24420,1
24420,24420,1
16510,23230,1
25531,23230,1
24550,24550,1
20594,20594,1
924,15883,3
15883,15883,1
924,23403,1
24494,23305,1
21,23470,1
2576,676,1
24930,24930,1
14909,843,2
381,24885,8
843,24792,1
2920,25153,1
25093,14675,1
24077,13518,1
12384,10902,3
12384,2647,1
14675,14675,109
25537,23983,1
2742,12363,1
25419,25419,1
24005,24005,7
25876,10902,8
20372,12792,1
21369,21369,1
23262,23262,2
26034,26034,1
21,26034,1
26523,3591,1
381,12250,1
381,25225,1
12771,12771,2
12771,26281,1
14904,26316,1
25311,25311,6
836,26427,1
25429,25429,16
9123,26535,1
24719,24719,3
17696,25289,1
60529,25289,1
14906,26659,1
96369,26659,1
836,23416,1
26477,14779,1
44658,14779,1
76005,14779,1
26408,26408,3
8005,17772,1
14906,14906,7
26903,26903,1
14779,27010,1
14904,25779,1
0,27189,1
21,27189,1
27189,27189,2
26856,26562,2
471,27194,1
27286,27287,2
27287,27287,1
27330,14675,1
26394,27389,2
16370,14684,3
14684,14684,3
58290,14684,2
471,27577,1
27250,27250,6
12384,27613,1
8560,8560,46
8560,5241,1
13002,13002,2
26163,21608,3
17435,17435,2
14372,26163,3
381,17310,2
27741,27741,6
24996,27776,2
27776,27776,1
26939,21608,1
13727,924,2
24593,924,1
10462,10462,1
27864,21608,3
8560,23144,1
28062,28062,2
836,26562,3
28213,26562,1
19046,19046,1
14675,77,2
77,77,4
13736,13736,18
28344,28344,3
19014,19014,1
18315,18315,2
28437,28437,2
28449,836,1
700,700,1
12384,28598,1
836,16162,2
18129,26243,2
471,15613,1
23120,924,3
381,28815,1
8820,28815,2
28937,28937,3
14904,28937,1
20308,20308,1
843,28628,2
15738,26800,1
29083,29083,5
28628,24885,1
17959,8820,1
52213,8820,1
29238,29236,1
24593,24593,5
28628,28285,1
28385,28385,2
29405,836,2
29438,29438,1
29335,29340,2
4855,4855,1
17208,4855,1
21,29556,2
29556,29556,2
29664,29664,1
29579,471,3
843,29714,1
8560,16176,1
21024,27735,1
29862,29862,1
26394,10717,1
30075,30075,2
26917,30036,1
30036,30036,1
836,28231,3
9123,28231,2
30009,29587,1
18843,9123,1
25429,14310,4
14310,14310,6
10273,30376,1
30210,30210,1
30363,30363,3
29587,29587,144
15412,8820,1
23305,21198,1
30597,30597,2
2750,2750,1
27818,2750,1
30212,30212,37
14586,14586,4
30693,17696,1
30212,15620,1
22054,22054,3
28937,8560,1
10881,10881,3
29580,29580,5
54079,16853,1
28317,28317,2
31017,31017,2
19161,15885,1
30212,15361,1
27916,27916,25
31075,31075,3
31171,31171,1
31361,15946,2
15946,15946,2
29587,31260,1
26163,19161,2
31260,29587,1
843,31409,1
26090,31154,1
31475,14904,2
30928,30928,4
31475,31475,1
31596,23478,1
23478,23478,1
50577,23478,1
42498,23478,1
75867,23478,1
30822,29534,4
28175,28175,309
31948,31948,1
14904,26596,1
30898,30898,2
381,32157,1
28600,836,3
10975,10975,2
32189,32189,1
32357,32357,3
381,32169,1
381,32535,2
19212,30212,2
836,32546,2
20618,20618,8
32602,32602,2
31676,32584,1
13505,13505,3
38880,13505,1
381,27702,1
31245,27702,1
381,8432,7
32816,32816,1
31608,31600,1
31434,30928,3
31434,31434,51
62515,32875,1
89397,32875,1
32908,836,3
31434,32916,1
32916,32916,1
32904,32904,2
32754,21433,1
21433,21433,6
8337,8337,2
32989,32989,4
32991,13875,1
43174,13875,1
2932,2932,24
33168,33168,2
28291,28291,3
8650,4881,2
32686,32686,5
381,31179,1
33230,14904,1
