_1,_2,_3
554,14,1
1155,14,1
3571,14,3
115,199,1
70,199,1
173,212,2
173,92,1
173,97,1
227,97,1
297,108,1
886,178,1
548,890,6
343,122,1
869,84,6
886,403,1
941,548,1
59446,548,1
1138,941,2
237,434,1
2723,917,2
1230,474,1
989,1085,1
375,1386,1
906,1301,1
21,921,1
984,192,1
1163,906,1
2452,95,1
471,1192,1
1241,2653,1
38714,2653,1
2969,2972,2
21,2853,2
609,3030,1
21,3097,1
2452,3128,1
1256,3203,1
8437,3390,1
1399,4668,1
4834,3281,1
82,3430,1
0,4956,1
4766,5004,1
2544,1279,1
0,5126,1
2647,2723,1
5370,3466,1
381,2742,3
2452,6469,1
381,5091,7
303,4621,1
21,7786,1
2452,2475,1
4621,2452,3
7923,21,1
7909,587,1
84,2522,1
7980,525,1
13901,525,1
7980,16218,1
33714,8065,1
8098,26,1
4621,8158,2
471,8268,1
7746,8344,2
1156,8488,1
8609,2452,1
1077,2723,1
8041,2723,1
8798,471,1
587,7712,1
6465,609,1
471,9219,1
9274,9287,1
9296,173,2
3314,8953,2
9385,173,1
182,9492,2
378,8041,4
9495,2576,3
9684,9448,2
10171,1367,1
182,9771,1
8878,8152,1
381,10001,1
21,8338,2
21,9698,1
21,10131,1
8878,9637,1
9974,9766,2
964,10201,2
9966,8953,1
5177,10322,1
41,10344,1
7980,8013,1
5043,5091,2
10701,21,1
1406,8878,1
18843,9061,1
12203,11142,1
1279,12250,3
9420,6554,1
7980,3465,1
10979,843,1
836,12457,1
7980,10517,1
7848,10512,1
836,12516,1
9793,10936,1
10094,1406,1
12350,12580,1
7980,12723,1
7848,12723,1
11097,12732,1
0,10345,1
5177,10810,1
5091,97,1
836,12996,1
3151,13023,1
21,13067,1
12909,97,2
13168,13027,1
12876,12867,3
13481,7738,5
924,13521,1
13413,13574,2
13606,924,2
3044,13413,2
10620,13496,1
619,13496,1
11097,9131,1
24215,12533,1
15361,13155,1
10814,12603,1
2723,12275,1
13481,10663,1
10522,12473,1
11097,12867,4
10814,14267,1
6550,7923,1
8041,12473,1
13285,14392,1
0,14411,1
1077,10094,1
11097,906,1
28175,836,16
3314,13413,3
14716,11097,1
381,14740,1
58928,3024,1
30781,8013,1
13578,14812,1
471,3151,8
924,97,1
13285,15182,1
13625,12473,1
14946,9420,1
11097,8820,3
947,15258,1
21,15258,1
381,15281,1
676,15412,1
39294,8820,1
381,15595,3
15609,12575,4
3361,15617,2
11097,8752,1
8878,4724,1
381,1093,1
381,3167,2
836,6550,1
14519,8820,1
11097,16024,2
0,16235,1
15361,16235,1
16284,16251,3
7738,16251,1
12515,14535,1
381,15361,2
14904,16612,1
15361,16612,1
947,16612,1
47940,16612,1
75,16646,1
16646,381,4
11097,381,1
381,16665,1
45799,16665,1
381,16971,2
16943,3439,1
12377,16870,1
381,14393,1
14463,14898,1
381,17415,1
11121,17619,3
16964,843,2
17461,10879,2
15361,17784,3
10879,12515,1
17795,12515,1
17815,12515,3
13686,12515,5
11097,17877,1
11097,14909,2
11097,17888,1
17397,17484,1
471,13417,2
16284,13417,1
13417,15202,2
54924,18098,1
381,17971,1
471,17971,1
18271,17696,1
471,18295,3
